gen	nevals	avg     	std       	min     	max
503	12    	0.509766	0.0101487 	0.492188	0.515625
504	8     	0.512109	0.00836886	0.492188	0.515625
505	14    	0.513281	0.00703125	0.492188	0.515625
506	18    	0.509766	0.0101487 	0.492188	0.515625
507	16    	0.508594	0.0107404 	0.492188	0.515625
508	11    	0.510938	0.009375  	0.492188	0.515625
509	9     	0.513281	0.00703125	0.492188	0.515625
510	15    	0.513281	0.00703125	0.492188	0.515625
511	15    	0.509766	0.0101487 	0.492188	0.515625
512	13    	0.512109	0.00836886	0.492188	0.515625
513	16    	0.509766	0.0101487 	0.492188	0.515625
514	13    	0.512109	0.00836886	0.492188	0.515625
515	14    	0.508594	0.0107404 	0.492188	0.515625
516	9     	0.514453	0.00510808	0.492188	0.515625
517	13    	0.510938	0.009375  	0.492188	0.515625
518	15    	0.509766	0.0101487 	0.492188	0.515625
519	16    	0.510938	0.009375  	0.492188	0.515625
520	17    	0.50625 	0.011482  	0.492188	0.515625
521	10    	0.509766	0.0101487 	0.492188	0.515625
522	11    	0.510938	0.009375  	0.492188	0.515625
523	12    	0.509766	0.0101487 	0.492188	0.515625
524	12    	0.512109	0.00836886	0.492188	0.515625
525	12    	0.508594	0.0107404 	0.492188	0.515625
526	12    	0.510938	0.009375  	0.492188	0.515625
527	11    	0.509766	0.0101487 	0.492188	0.515625
528	12    	0.509766	0.0101487 	0.492188	0.515625
529	9     	0.513281	0.00703125	0.492188	0.515625
530	10    	0.510938	0.009375  	0.492188	0.515625
531	12    	0.509766	0.0101487 	0.492188	0.515625
532	15    	0.510938	0.009375  	0.492188	0.515625
533	9     	0.510938	0.009375  	0.492188	0.515625
534	13    	0.510938	0.009375  	0.492188	0.515625
535	13    	0.508594	0.0107404 	0.492188	0.515625
536	11    	0.510938	0.009375  	0.492188	0.515625
537	9     	0.512109	0.00836886	0.492188	0.515625
538	10    	0.509766	0.0101487 	0.492188	0.515625
539	8     	0.513281	0.00703125	0.492188	0.515625
540	11    	0.510938	0.009375  	0.492188	0.515625
541	15    	0.510938	0.009375  	0.492188	0.515625
542	13    	0.513281	0.00703125	0.492188	0.515625
543	11    	0.512109	0.00836886	0.492188	0.515625
544	8     	0.512109	0.00836886	0.492188	0.515625
545	11    	0.513281	0.00703125	0.492188	0.515625
546	12    	0.509766	0.0101487 	0.492188	0.515625
547	15    	0.512109	0.00836886	0.492188	0.515625
548	14    	0.50625 	0.011482  	0.492188	0.515625
549	14    	0.509766	0.0101487 	0.492188	0.515625
550	14    	0.510938	0.009375  	0.492188	0.515625
551	17    	0.512109	0.00836886	0.492188	0.515625
552	12    	0.509766	0.0101487 	0.492188	0.515625
553	14    	0.512109	0.00836886	0.492188	0.515625
554	10    	0.512109	0.00836886	0.492188	0.515625
555	11    	0.512109	0.00836886	0.492188	0.515625
556	16    	0.512109	0.00836886	0.492188	0.515625
557	13    	0.509766	0.0101487 	0.492188	0.515625
558	12    	0.507422	0.011179  	0.492188	0.515625
559	12    	0.510938	0.009375  	0.492188	0.515625
560	14    	0.509766	0.0101487 	0.492188	0.515625
561	16    	0.512109	0.00836886	0.492188	0.515625
562	8     	0.510938	0.009375  	0.492188	0.515625
563	12    	0.510938	0.009375  	0.492188	0.515625
564	14    	0.509766	0.0101487 	0.492188	0.515625
565	14    	0.508594	0.0107404 	0.492188	0.515625
566	16    	0.510938	0.009375  	0.492188	0.515625
567	17    	0.510938	0.009375  	0.492188	0.515625
568	11    	0.510938	0.009375  	0.492188	0.515625
569	11    	0.512109	0.00836886	0.492188	0.515625
570	13    	0.510938	0.009375  	0.492188	0.515625
571	15    	0.50625 	0.011482  	0.492188	0.515625
572	16    	0.50625 	0.011482  	0.492188	0.515625
573	13    	0.508594	0.0107404 	0.492188	0.515625
574	15    	0.509766	0.0101487 	0.492188	0.515625
575	11    	0.512109	0.00836886	0.492188	0.515625
576	14    	0.512109	0.00836886	0.492188	0.515625
577	5     	0.509766	0.0101487 	0.492188	0.515625
578	17    	0.507422	0.011179  	0.492188	0.515625
579	12    	0.513281	0.00703125	0.492188	0.515625
580	14    	0.510938	0.009375  	0.492188	0.515625
581	11    	0.512109	0.00836886	0.492188	0.515625
582	14    	0.508594	0.0107404 	0.492188	0.515625
583	14    	0.509766	0.0101487 	0.492188	0.515625
584	11    	0.512109	0.00836886	0.492188	0.515625
585	11    	0.508594	0.0107404 	0.492188	0.515625
586	14    	0.510938	0.009375  	0.492188	0.515625
587	11    	0.50625 	0.011482  	0.492188	0.515625
588	16    	0.508594	0.0107404 	0.492188	0.515625
589	10    	0.507422	0.011179  	0.492188	0.515625
590	17    	0.512109	0.00836886	0.492188	0.515625
591	12    	0.514453	0.00510808	0.492188	0.515625
592	15    	0.509766	0.0101487 	0.492188	0.515625
593	15    	0.512109	0.00836886	0.492188	0.515625
594	16    	0.508594	0.0107404 	0.492188	0.515625
595	10    	0.509766	0.0101487 	0.492188	0.515625
596	13    	0.509766	0.0101487 	0.492188	0.515625
597	12    	0.510938	0.009375  	0.492188	0.515625
598	13    	0.507422	0.011179  	0.492188	0.515625
599	16    	0.509766	0.0101487 	0.492188	0.515625
600	16    	0.513281	0.00703125	0.492188	0.515625
[<deap.creator.Individual object at 0x7f3a08c28490>, <deap.creator.Individual object at 0x7f3a09e78f50>, <deap.creator.Individual object at 0x7f3a08c22c90>, <deap.creator.Individual object at 0x7f3a08c22910>, <deap.creator.Individual object at 0x7f3a08c225d0>, <deap.creator.Individual object at 0x7f3a09104b10>, <deap.creator.Individual object at 0x7f3a0859abd0>, <deap.creator.Individual object at 0x7f3a0859a610>, <deap.creator.Individual object at 0x7f3a0859a3d0>, <deap.creator.Individual object at 0x7f3a0859a510>, <deap.creator.Individual object at 0x7f3a0859a090>, <deap.creator.Individual object at 0x7f3a08595b50>, <deap.creator.Individual object at 0x7f3a08595790>, <deap.creator.Individual object at 0x7f3a08595ad0>, <deap.creator.Individual object at 0x7f3a08595410>, <deap.creator.Individual object at 0x7f3a085952d0>, <deap.creator.Individual object at 0x7f3a08595190>, <deap.creator.Individual object at 0x7f3a0858ecd0>, <deap.creator.Individual object at 0x7f3a0858e9d0>, <deap.creator.Individual object at 0x7f3a0858e810>] <deap.tools.support.Statistics object at 0x7f3bba17dd10> [<deap.creator.Individual object at 0x7f3b64389b90>]
